,snow_depth,hour_weight,month_weight,snowfall,is_holiday,month_cos,hour_cos,hour_sin,month_sin,day_type_offday,subway_feature_available,precipitation
snow_depth,1.0,0.0009373588574444882,-0.46467088476590834,0.1130381999929474,0.09248685983402265,0.3967529232812213,-0.005820095475239629,0.005478405015252447,0.14727912644426172,0.026205502326807902,0.011283745681746926,-0.05406882014982648
hour_weight,0.0009373588574444882,1.0,-8.267148690753039e-05,-0.0032327827062184804,2.5743375925119248e-05,7.879585531326246e-05,-0.5438684377385522,-0.273288040601261,-0.0001386351132802253,-0.00013375668394110897,-3.315863629588548e-05,0.01169745485968073
month_weight,-0.46467088476590834,-8.267148690753039e-05,1.0,-0.0631878103607355,0.01099249901475645,-0.7877435875038332,4.2193577338870946e-05,0.00010187016258087382,-0.3455142574643444,0.0029226870529645236,0.0020589329427434504,0.09728431777800994
snowfall,0.1130381999929474,-0.0032327827062184804,-0.0631878103607355,1.0,0.004499532465167511,0.053173091726419444,-0.005154679269238603,0.017320167597847942,0.026917485702416064,0.027364783367057353,0.009353017588974935,0.044660642410643055
is_holiday,0.09248685983402265,2.5743375925119248e-05,0.01099249901475645,0.004499532465167511,1.0,0.030324107199818973,-1.3138811985867001e-05,-3.172172158738992e-05,-0.0201187820216399,0.33324836023211907,-0.003974952562298802,0.026723322914319232
month_cos,0.3967529232812213,7.879585531326246e-05,-0.7877435875038332,0.053173091726419444,0.030324107199818973,1.0,-4.021554636943916e-05,-9.709449886247051e-05,7.742911639608012e-05,0.007932812924132927,0.007230169853090664,-0.11466470026272498
hour_cos,-0.005820095475239629,-0.5438684377385522,4.2193577338870946e-05,-0.005154679269238603,-1.3138811985867001e-05,-4.021554636943916e-05,1.0,-5.748584761409432e-05,7.075609249101333e-05,8.378925132702642e-05,-0.32872165019401983,-0.0033566450170875207
hour_sin,0.005478405015252447,-0.273288040601261,0.00010187016258087382,0.017320167597847942,-3.172172158738992e-05,-9.709449886247051e-05,-5.748584761409432e-05,1.0,0.00017083013814535574,2.803339083636261e-05,-0.24670197358546012,0.0004803353121411787
month_sin,0.14727912644426172,-0.0001386351132802253,-0.3455142574643444,0.026917485702416064,-0.0201187820216399,7.742911639608012e-05,7.075609249101333e-05,0.00017083013814535574,1.0,-0.0063932734784029315,-0.026705133600237563,-0.11061785037519725
day_type_offday,0.026205502326807902,-0.00013375668394110897,0.0029226870529645236,0.027364783367057353,0.33324836023211907,0.007932812924132927,8.378925132702642e-05,2.803339083636261e-05,-0.0063932734784029315,1.0,-0.0003950642041315225,-0.010120567538314442
subway_feature_available,0.011283745681746926,-3.315863629588548e-05,0.0020589329427434504,0.009353017588974935,-0.003974952562298802,0.007230169853090664,-0.32872165019401983,-0.24670197358546012,-0.026705133600237563,-0.0003950642041315225,1.0,-0.006267759549731691
precipitation,-0.05406882014982648,0.01169745485968073,0.09728431777800994,0.044660642410643055,0.026723322914319232,-0.11466470026272498,-0.0033566450170875207,0.0004803353121411787,-0.11061785037519725,-0.010120567538314442,-0.006267759549731691,1.0
