feature_a,feature_b,corr,abs_corr
month_weight,month_cos,-0.7877435875038332,0.7877435875038332
hour_weight,hour_cos,-0.5438684377385522,0.5438684377385522
snow_depth,month_weight,-0.46467088476590834,0.46467088476590834
snow_depth,month_cos,0.3967529232812213,0.3967529232812213
month_weight,month_sin,-0.3455142574643444,0.3455142574643444
is_holiday,day_type_offday,0.33324836023211907,0.33324836023211907
hour_cos,subway_feature_available,-0.32872165019401983,0.32872165019401983
hour_weight,hour_sin,-0.273288040601261,0.273288040601261
hour_sin,subway_feature_available,-0.24670197358546012,0.24670197358546012
snow_depth,month_sin,0.14727912644426172,0.14727912644426172
month_cos,precipitation,-0.11466470026272498,0.11466470026272498
snow_depth,snowfall,0.1130381999929474,0.1130381999929474
month_sin,precipitation,-0.11061785037519725,0.11061785037519725
month_weight,precipitation,0.09728431777800994,0.09728431777800994
snow_depth,is_holiday,0.09248685983402265,0.09248685983402265
month_weight,snowfall,-0.0631878103607355,0.0631878103607355
snow_depth,precipitation,-0.05406882014982648,0.05406882014982648
snowfall,month_cos,0.053173091726419444,0.053173091726419444
snowfall,precipitation,0.044660642410643055,0.044660642410643055
is_holiday,month_cos,0.030324107199818973,0.030324107199818973
snowfall,day_type_offday,0.027364783367057353,0.027364783367057353
snowfall,month_sin,0.026917485702416064,0.026917485702416064
is_holiday,precipitation,0.026723322914319232,0.026723322914319232
month_sin,subway_feature_available,-0.026705133600237563,0.026705133600237563
snow_depth,day_type_offday,0.026205502326807902,0.026205502326807902
is_holiday,month_sin,-0.0201187820216399,0.0201187820216399
snowfall,hour_sin,0.017320167597847942,0.017320167597847942
hour_weight,precipitation,0.01169745485968073,0.01169745485968073
snow_depth,subway_feature_available,0.011283745681746926,0.011283745681746926
month_weight,is_holiday,0.01099249901475645,0.01099249901475645
day_type_offday,precipitation,-0.010120567538314442,0.010120567538314442
snowfall,subway_feature_available,0.009353017588974935,0.009353017588974935
month_cos,day_type_offday,0.007932812924132927,0.007932812924132927
month_cos,subway_feature_available,0.007230169853090664,0.007230169853090664
month_sin,day_type_offday,-0.0063932734784029315,0.0063932734784029315
subway_feature_available,precipitation,-0.006267759549731691,0.006267759549731691
snow_depth,hour_cos,-0.005820095475239629,0.005820095475239629
snow_depth,hour_sin,0.005478405015252447,0.005478405015252447
snowfall,hour_cos,-0.005154679269238603,0.005154679269238603
snowfall,is_holiday,0.004499532465167511,0.004499532465167511
is_holiday,subway_feature_available,-0.003974952562298802,0.003974952562298802
hour_cos,precipitation,-0.0033566450170875207,0.0033566450170875207
hour_weight,snowfall,-0.0032327827062184804,0.0032327827062184804
month_weight,day_type_offday,0.0029226870529645236,0.0029226870529645236
month_weight,subway_feature_available,0.0020589329427434504,0.0020589329427434504
snow_depth,hour_weight,0.0009373588574444882,0.0009373588574444882
hour_sin,precipitation,0.0004803353121411787,0.0004803353121411787
day_type_offday,subway_feature_available,-0.0003950642041315225,0.0003950642041315225
hour_sin,month_sin,0.00017083013814535574,0.00017083013814535574
hour_weight,month_sin,-0.0001386351132802253,0.0001386351132802253
hour_weight,day_type_offday,-0.00013375668394110897,0.00013375668394110897
month_weight,hour_sin,0.00010187016258087382,0.00010187016258087382
month_cos,hour_sin,-9.709449886247051e-05,9.709449886247051e-05
hour_cos,day_type_offday,8.378925132702642e-05,8.378925132702642e-05
hour_weight,month_weight,-8.267148690753039e-05,8.267148690753039e-05
hour_weight,month_cos,7.879585531326246e-05,7.879585531326246e-05
month_cos,month_sin,7.742911639608012e-05,7.742911639608012e-05
hour_cos,month_sin,7.075609249101333e-05,7.075609249101333e-05
hour_cos,hour_sin,-5.748584761409432e-05,5.748584761409432e-05
month_weight,hour_cos,4.2193577338870946e-05,4.2193577338870946e-05
month_cos,hour_cos,-4.021554636943916e-05,4.021554636943916e-05
hour_weight,subway_feature_available,-3.315863629588548e-05,3.315863629588548e-05
is_holiday,hour_sin,-3.172172158738992e-05,3.172172158738992e-05
hour_sin,day_type_offday,2.803339083636261e-05,2.803339083636261e-05
hour_weight,is_holiday,2.5743375925119248e-05,2.5743375925119248e-05
is_holiday,hour_cos,-1.3138811985867001e-05,1.3138811985867001e-05
