feature,nunique,q1,q3,iqr,upper_bound,regular_max,candidate_count,special_case_count,outlier_count,action,rationale,feature_group
bike_rental_minutes_sum,8278,0.0,1735.0,1735.0,4337.5,4336.0,6477,6470,7,remove_row,연속형 규모 feature에서 anchor 기준으로 분리된 outlier가 확인되어 row 제거,bike
bike_rental_distance_m_sum,11593,0.0,224739.135,224739.135,561847.8375,561823.78,6271,6266,5,remove_row,연속형 규모 feature에서 anchor 기준으로 분리된 outlier가 확인되어 row 제거,bike
event_count,22,0.0,0.0,0.0,0.0,0.0,6552,0,6552,review_only_keep,IQR이 0이라 non-zero 발생 자체를 이상치로 보기 쉬워 row 제거 대신 설명만 유지,event
free_event_count,21,0.0,0.0,0.0,0.0,0.0,6552,0,6552,review_only_keep,IQR이 0이라 non-zero 발생 자체를 이상치로 보기 쉬워 row 제거 대신 설명만 유지,event
evening_event_count,14,0.0,0.0,0.0,0.0,0.0,6432,0,6432,review_only_keep,IQR이 0이라 non-zero 발생 자체를 이상치로 보기 쉬워 row 제거 대신 설명만 유지,event
weather_code,13,0.0,3.0,3.0,7.5,3.0,5077,0,5077,review_only_keep,저카디널리티 정수형/코드형 feature라 값 발생을 이상치보다 이벤트 신호로 해석,weather
precipitation,138,0.0,0.0,0.0,0.0,0.0,5073,0,5073,review_only_keep,IQR이 0이라 non-zero 발생 자체를 이상치로 보기 쉬워 row 제거 대신 설명만 유지,weather
rain,138,0.0,0.0,0.0,0.0,0.0,4789,0,4789,review_only_keep,IQR이 0이라 non-zero 발생 자체를 이상치로 보기 쉬워 row 제거 대신 설명만 유지,weather
snow_depth,12,0.0,0.0,0.0,0.0,0.0,4764,0,4764,review_only_keep,IQR이 0이라 non-zero 발생 자체를 이상치로 보기 쉬워 row 제거 대신 설명만 유지,weather
paid_event_count,4,0.0,0.0,0.0,0.0,0.0,4248,0,4248,review_only_keep,IQR이 0이라 non-zero 발생 자체를 이상치로 보기 쉬워 row 제거 대신 설명만 유지,event
snowfall,22,0.0,0.0,0.0,0.0,0.0,381,0,381,review_only_keep,IQR이 0이라 non-zero 발생 자체를 이상치로 보기 쉬워 row 제거 대신 설명만 유지,weather
bike_rentals,1251,0.0,91.0,91.0,227.5,227.0,6226,6226,0,keep,anchor 규칙상 제거할 outlier 없음,bike
bike_returns,1254,0.0,91.0,91.0,227.5,227.0,6214,6214,0,keep,anchor 규칙상 제거할 outlier 없음,bike
cloud_cover_low,101,0.0,28.0,28.0,70.0,70.0,6113,6113,0,keep,anchor 규칙상 제거할 outlier 없음,weather
cloud_cover_mid,101,0.0,32.0,32.0,80.0,80.0,6030,6030,0,keep,anchor 규칙상 제거할 outlier 없음,weather
direct_radiation,733,0.0,136.0,136.0,340.0,340.0,4453,4453,0,keep,anchor 규칙상 제거할 outlier 없음,weather
shortwave_radiation,916,0.0,299.0,299.0,747.5,747.0,1233,1233,0,keep,anchor 규칙상 제거할 outlier 없음,weather
wind_speed_10m,338,5.3,11.8,6.500000000000001,21.550000000000004,21.5,888,888,0,keep,anchor 규칙상 제거할 outlier 없음,weather
diffuse_radiation,414,0.0,125.0,125.0,312.5,312.0,689,689,0,keep,anchor 규칙상 제거할 outlier 없음,weather
wind_gusts_10m,188,11.5,24.8,13.3,44.75,44.6,587,587,0,keep,anchor 규칙상 제거할 outlier 없음,weather
apparent_temperature,657,-1.0,24.2,25.2,62.0,43.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
bus_alightings,824,52294.0,143381.0,91087.0,280011.5,231250.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,traffic
bus_boardings,823,53999.0,155619.0,101620.0,308049.0,248050.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,traffic
cloud_cover,101,1.0,100.0,99.0,248.5,100.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
cloud_cover_high,101,0.0,98.0,98.0,245.0,100.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
dew_point_2m,557,-2.3,18.0,20.3,48.45,27.4,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
hour_cos,22,-0.7071067811865476,0.7071067811865475,1.414213562373095,2.82842712474619,1.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,calendar
hour_sin,22,-0.7071067811865472,0.7071067811865475,1.4142135623730947,2.8284271247461894,1.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,calendar
month_cos,11,-0.8660254037844387,0.8660254037844384,1.7320508075688772,3.4641016151377544,1.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,calendar
month_sin,11,-0.8660254037844384,0.49999999999999994,1.3660254037844384,2.5490381056766576,1.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,calendar
pressure_msl,467,1009.7,1023.4,13.699999999999932,1043.9499999999998,1039.9,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
relative_humidity_2m,89,58.0,91.0,33.0,140.5,100.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
subway_alightings,1053,54274.0,399733.0,345459.0,917921.5,702349.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,traffic
subway_boardings,1039,80732.0,375685.0,294953.0,818114.5,707570.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,traffic
sunshine_duration,2358,0.0,3600.0,3600.0,9000.0,3600.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
surface_pressure,456,1005.8,1019.3,13.5,1039.55,1035.4,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
temperature_2m,540,2.8,22.4,19.599999999999998,51.8,38.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
wind_direction_10m,360,98.0,285.0,187.0,565.5,360.0,0,0,0,keep,anchor 규칙상 제거할 outlier 없음,weather
bike_feature_available,2,,,,,,0,0,0,skip_binary_indicator,0/1 indicator는 발생 여부 자체가 의미라 이상치 제거 대상에서 제외,availability_flag
bus_feature_available,2,,,,,,0,0,0,skip_binary_indicator,0/1 indicator는 발생 여부 자체가 의미라 이상치 제거 대상에서 제외,availability_flag
culture_feature_available,2,,,,,,0,0,0,skip_binary_indicator,0/1 indicator는 발생 여부 자체가 의미라 이상치 제거 대상에서 제외,availability_flag
is_holiday,2,,,,,,0,0,0,skip_binary_indicator,0/1 indicator는 발생 여부 자체가 의미라 이상치 제거 대상에서 제외,calendar
is_long_weekend,2,,,,,,0,0,0,skip_binary_indicator,0/1 indicator는 발생 여부 자체가 의미라 이상치 제거 대상에서 제외,calendar
subway_feature_available,2,,,,,,0,0,0,skip_binary_indicator,0/1 indicator는 발생 여부 자체가 의미라 이상치 제거 대상에서 제외,availability_flag
weather_feature_available,1,,,,,,0,0,0,skip_binary_indicator,0/1 indicator는 발생 여부 자체가 의미라 이상치 제거 대상에서 제외,availability_flag
