hour,prediction,estimated_active_cars_change,predicted_occupied_cars,predicted_free_spaces,predicted_occupancy_rate
0,0.0,0.0,0.0,618.0,0.0
1,0.0,0.0,0.0,618.0,0.0
2,0.0,0.0,0.0,618.0,0.0
3,0.0,0.0,0.0,618.0,0.0
4,0.0,0.0,0.0,618.0,0.0
5,0.0,0.0,0.0,618.0,0.0
6,6.8229429995416595,9.090485382566461,98.12010769183641,519.8798923081636,15.87704007958518
7,6.969911313121103,10.281507494238648,105.09001900495751,512.9099809950425,17.004857444167882
8,13.866289058813944,16.995339246404722,118.95630806377146,499.0436919362285,19.248593537827098
9,23.540278003215732,24.793150082058208,142.4965860669872,475.5034139330128,23.05770001083935
10,32.18432716136956,31.671956751598746,174.68091322835676,443.31908677164324,28.265519939863555
11,36.931671514157486,35.32876338874077,211.61258474251426,406.3874152574857,34.24151856674988
12,36.38741525748574,33.863219562628466,248.0,370.0,40.1294498381877
13,31.05299546296354,26.382821569524356,279.05299546296357,338.94700453703643,45.15420638559281
14,18.405745045363535,13.351152047318267,297.4587405083271,320.5412594916729,48.132482282900824
15,2.546594006950845,-3.180167353590866,300.0053345152779,317.9946654847221,48.544552510562774
16,-14.772674639269063,-19.685404086608546,285.2326598760089,332.7673401239911,46.154152083496584
17,-28.040559932459274,-32.12453297971415,257.1920999435496,360.8079000564504,41.6168446510598
18,-38.42964653751605,-37.63297751357968,218.76245340603353,399.2375465939665,35.39845524369475
19,-42.4683237987873,-35.87441120066742,176.29412960724622,441.7058703927538,28.526558188874795
20,-36.75598254432596,-28.994714247326336,139.53814706292025,478.46185293707975,22.578988197883536
21,-27.786520871609838,-20.240142914189,111.75162619131041,506.2483738086896,18.082787409597152
22,-18.99267119774034,-12.327475278326206,92.75895499357007,525.2410450064299,15.009539642972502
23,-12.670162767166289,-6.592611744913561,80.08879222640378,537.9112077735962,12.959351492945595
