,snow_depth,snowfall,hour_cos,hour_weight,bus_feature_available,bike_feature_available,hour_sin,month_sin,is_holiday,day_type_offday,month_weight,corrected_pattern_prior
snow_depth,1.0,0.1130381999929474,-0.005820095475239629,-0.0019328044635757294,-0.0204145253146577,0.07893073462575217,0.005478405015252447,0.14727912644426172,0.09248685983402265,0.026205502326807902,-0.32350597355492366,0.005301817169487709
snowfall,0.1130381999929474,1.0,-0.005154679269238603,-0.015967166439005552,-0.007314388890310468,-0.006435744082842968,0.017320167597847942,0.026917485702416064,0.004499532465167511,0.027364783367057353,-0.04330401896144395,0.018248890676113034
hour_cos,-0.005820095475239629,-0.005154679269238603,1.0,-0.3835354256589039,-0.059000449689731775,0.00010040587276939354,-5.748584761409432e-05,7.075609249101333e-05,-1.3138811985865514e-05,8.378925132702642e-05,5.801354174272513e-05,-0.6546740250671125
hour_weight,-0.0019328044635757294,-0.015967166439005552,-0.3835354256589039,1.0,-0.00015404125177304712,-0.00025841926421125907,-0.5623969739052567,-0.00018210824581806783,3.381597144039934e-05,-0.00011482039892868653,-0.00014931215035664786,0.03498243728924433
bus_feature_available,-0.0204145253146577,-0.007314388890310468,-0.059000449689731775,-0.00015404125177304712,1.0,0.5483258619006829,0.00014450135523454117,-0.005951694924044201,-0.0002750533223721103,-0.0009538289954541785,0.005855994094204199,0.043448367538456205
bike_feature_available,0.07893073462575217,-0.006435744082842968,0.00010040587276939354,-0.00025841926421125907,0.5483258619006829,1.0,0.00024241515482187944,0.5084155085830837,0.01641892114221645,-0.01571584785588113,-0.029085070101298825,-0.0016209483996955567
hour_sin,0.005478405015252447,0.017320167597847942,-5.748584761409432e-05,-0.5623969739052567,0.00014450135523454117,0.00024241515482187944,1.0,0.00017083013814535574,-3.172172158738828e-05,2.803339083636261e-05,0.00014006513080790756,0.46490418292672103
month_sin,0.14727912644426172,0.026917485702416064,7.075609249101333e-05,-0.00018210824581806783,-0.005951694924044201,0.5084155085830837,0.00017083013814535574,1.0,-0.020118782021639907,-0.0063932734784029315,-0.19958769157940257,-0.0027790697553932565
is_holiday,0.09248685983402265,0.004499532465167511,-1.3138811985865514e-05,3.381597144039934e-05,-0.0002750533223721103,0.01641892114221645,-3.172172158738828e-05,-0.020118782021639907,1.0,0.33324836023211907,0.05295573046215119,0.03398571520841705
day_type_offday,0.026205502326807902,0.027364783367057353,8.378925132702642e-05,-0.00011482039892868653,-0.0009538289954541785,-0.01571584785588113,2.803339083636261e-05,-0.0063932734784029315,0.33324836023211907,1.0,0.01664866484375742,0.09457555889247005
month_weight,-0.32350597355492366,-0.04330401896144395,5.801354174272513e-05,-0.00014931215035664786,0.005855994094204199,-0.029085070101298825,0.00014006513080790756,-0.19958769157940257,0.05295573046215119,0.01664866484375742,1.0,0.008490862738045977
corrected_pattern_prior,0.005301817169487709,0.018248890676113034,-0.6546740250671125,0.03498243728924433,0.043448367538456205,-0.0016209483996955567,0.46490418292672103,-0.0027790697553932565,0.03398571520841705,0.09457555889247005,0.008490862738045977,1.0
