feature_a,feature_b,corr,abs_corr
hour_cos,corrected_pattern_prior,-0.6546740250671125,0.6546740250671125
hour_weight,hour_sin,-0.5623969739052567,0.5623969739052567
bus_feature_available,bike_feature_available,0.5483258619006829,0.5483258619006829
bike_feature_available,month_sin,0.5084155085830837,0.5084155085830837
hour_sin,corrected_pattern_prior,0.46490418292672103,0.46490418292672103
hour_cos,hour_weight,-0.3835354256589039,0.3835354256589039
is_holiday,day_type_offday,0.33324836023211907,0.33324836023211907
snow_depth,month_weight,-0.32350597355492366,0.32350597355492366
month_sin,month_weight,-0.19958769157940257,0.19958769157940257
snow_depth,month_sin,0.14727912644426172,0.14727912644426172
snow_depth,snowfall,0.1130381999929474,0.1130381999929474
day_type_offday,corrected_pattern_prior,0.09457555889247005,0.09457555889247005
snow_depth,is_holiday,0.09248685983402265,0.09248685983402265
snow_depth,bike_feature_available,0.07893073462575217,0.07893073462575217
hour_cos,bus_feature_available,-0.059000449689731775,0.059000449689731775
is_holiday,month_weight,0.05295573046215119,0.05295573046215119
bus_feature_available,corrected_pattern_prior,0.043448367538456205,0.043448367538456205
snowfall,month_weight,-0.04330401896144395,0.04330401896144395
hour_weight,corrected_pattern_prior,0.03498243728924433,0.03498243728924433
is_holiday,corrected_pattern_prior,0.03398571520841705,0.03398571520841705
bike_feature_available,month_weight,-0.029085070101298825,0.029085070101298825
snowfall,day_type_offday,0.027364783367057353,0.027364783367057353
snowfall,month_sin,0.026917485702416064,0.026917485702416064
snow_depth,day_type_offday,0.026205502326807902,0.026205502326807902
snow_depth,bus_feature_available,-0.0204145253146577,0.0204145253146577
month_sin,is_holiday,-0.020118782021639907,0.020118782021639907
snowfall,corrected_pattern_prior,0.018248890676113034,0.018248890676113034
snowfall,hour_sin,0.017320167597847942,0.017320167597847942
day_type_offday,month_weight,0.01664866484375742,0.01664866484375742
bike_feature_available,is_holiday,0.01641892114221645,0.01641892114221645
snowfall,hour_weight,-0.015967166439005552,0.015967166439005552
bike_feature_available,day_type_offday,-0.01571584785588113,0.01571584785588113
month_weight,corrected_pattern_prior,0.008490862738045977,0.008490862738045977
snowfall,bus_feature_available,-0.007314388890310468,0.007314388890310468
snowfall,bike_feature_available,-0.006435744082842968,0.006435744082842968
month_sin,day_type_offday,-0.0063932734784029315,0.0063932734784029315
bus_feature_available,month_sin,-0.005951694924044201,0.005951694924044201
bus_feature_available,month_weight,0.005855994094204199,0.005855994094204199
snow_depth,hour_cos,-0.005820095475239629,0.005820095475239629
snow_depth,hour_sin,0.005478405015252447,0.005478405015252447
snow_depth,corrected_pattern_prior,0.005301817169487709,0.005301817169487709
snowfall,hour_cos,-0.005154679269238603,0.005154679269238603
snowfall,is_holiday,0.004499532465167511,0.004499532465167511
month_sin,corrected_pattern_prior,-0.0027790697553932565,0.0027790697553932565
snow_depth,hour_weight,-0.0019328044635757294,0.0019328044635757294
bike_feature_available,corrected_pattern_prior,-0.0016209483996955567,0.0016209483996955567
bus_feature_available,day_type_offday,-0.0009538289954541785,0.0009538289954541785
bus_feature_available,is_holiday,-0.0002750533223721103,0.0002750533223721103
hour_weight,bike_feature_available,-0.00025841926421125907,0.00025841926421125907
bike_feature_available,hour_sin,0.00024241515482187944,0.00024241515482187944
hour_weight,month_sin,-0.00018210824581806783,0.00018210824581806783
hour_sin,month_sin,0.00017083013814535574,0.00017083013814535574
hour_weight,bus_feature_available,-0.00015404125177304712,0.00015404125177304712
hour_weight,month_weight,-0.00014931215035664786,0.00014931215035664786
bus_feature_available,hour_sin,0.00014450135523454117,0.00014450135523454117
hour_sin,month_weight,0.00014006513080790756,0.00014006513080790756
hour_weight,day_type_offday,-0.00011482039892868653,0.00011482039892868653
hour_cos,bike_feature_available,0.00010040587276939354,0.00010040587276939354
hour_cos,day_type_offday,8.378925132702642e-05,8.378925132702642e-05
hour_cos,month_sin,7.075609249101333e-05,7.075609249101333e-05
hour_cos,month_weight,5.801354174272513e-05,5.801354174272513e-05
hour_cos,hour_sin,-5.748584761409432e-05,5.748584761409432e-05
hour_weight,is_holiday,3.381597144039934e-05,3.381597144039934e-05
hour_sin,is_holiday,-3.172172158738828e-05,3.172172158738828e-05
hour_sin,day_type_offday,2.803339083636261e-05,2.803339083636261e-05
hour_cos,is_holiday,-1.3138811985865514e-05,1.3138811985865514e-05
