feature,row_index,datetime,split,feature_value,comparison_anchor,gap_from_anchor
bike_rental_distance_m_sum,10890,2023-04-03 18:00:00,train,6312020.75,6005430.57,306590.1799999997
bike_rental_distance_m_sum,19407,2024-03-24 15:00:00,valid,6715044.93,6005430.57,709614.3599999994
bike_rental_distance_m_sum,19408,2024-03-24 16:00:00,valid,6620197.35,6005430.57,614766.7799999993
bike_rental_distance_m_sum,19743,2024-04-07 15:00:00,valid,6618988.06,6005430.57,613557.4899999993
bike_rental_distance_m_sum,23753,2024-09-22 17:00:00,valid,6250679.14,6005430.57,245248.56999999937
bike_rental_minutes_sum,10863,2023-04-02 15:00:00,train,57303.0,53207.0,4096.0
bike_rental_minutes_sum,19407,2024-03-24 15:00:00,valid,58887.0,53207.0,5680.0
bike_rental_minutes_sum,19408,2024-03-24 16:00:00,valid,56798.0,53207.0,3591.0
bike_rental_minutes_sum,19743,2024-04-07 15:00:00,valid,62347.0,53207.0,9140.0
bike_rental_minutes_sum,19744,2024-04-07 16:00:00,valid,57110.0,53207.0,3903.0
bike_rental_minutes_sum,23753,2024-09-22 17:00:00,valid,56428.0,53207.0,3221.0
bike_rental_minutes_sum,24066,2024-10-05 18:00:00,valid,65428.0,53207.0,12221.0
