model_name,scope,rmse,mae,r2,regime
weather_only_extended,train,12.135675885403769,6.780442912482439,0.8057234229277263,
weather_only_extended_global_calibrated,train,11.94900873506246,6.949275532386308,0.8116540602525311,
weather_only_extended_regime_calibrated,train,11.788749030810541,6.863499178648381,0.8166723592752686,
weather_only_extended,valid,11.905478797124616,6.762662364559452,0.7935690416094403,
weather_only_extended_global_calibrated,valid,11.98867151628212,7.099081344971935,0.7906739786828143,
weather_only_extended_regime_calibrated,valid,12.279300982067044,7.136933027603028,0.7804019970361809,
weather_only_extended,test,12.994785248697474,7.124580811860003,0.7651030509931551,
weather_only_extended_global_calibrated,test,13.050314668537132,7.55416384607089,0.7630912346755979,
weather_only_extended_regime_calibrated,test,12.76953253784683,7.3834210101979485,0.7731759187065539,
weather_only_extended,test_transition,19.839820256163918,10.76382945169271,0.772530141466428,transition
weather_only_extended_global_calibrated,test_transition,19.132592694901764,10.876705355063816,0.7884582741178218,transition
weather_only_extended_regime_calibrated,test_transition,18.80254836123829,11.372808802254202,0.7956936712818314,transition
weather_only_extended,test_peak_summer,12.005907311381801,6.486014355775865,0.7615161529833814,peak_summer
weather_only_extended_global_calibrated,test_peak_summer,11.97330303930695,6.816843484554004,0.7628096885737309,peak_summer
weather_only_extended_regime_calibrated,test_peak_summer,12.009901464790282,6.9335564930538265,0.7613574478572265,peak_summer
weather_only_extended,test_regular,10.720230576540873,6.354552259642767,0.7589418154362997,regular
weather_only_extended_global_calibrated,test_regular,11.21085837507113,6.918118757443462,0.7363721055728043,regular
weather_only_extended_regime_calibrated,test_regular,10.7899529786116,6.430755351055626,0.7557960228404803,regular
