location_name,baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
Nanji_Hangang,20260403,1700,TMP,20260403,1800,19,59,126
Nanji_Hangang,20260403,1700,UUU,20260403,1800,0.5,59,126
Nanji_Hangang,20260403,1700,VVV,20260403,1800,2.2,59,126
Nanji_Hangang,20260403,1700,VEC,20260403,1800,195,59,126
Nanji_Hangang,20260403,1700,WSD,20260403,1800,2.3,59,126
Nanji_Hangang,20260403,1700,SKY,20260403,1800,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260403,1800,0,59,126
Nanji_Hangang,20260403,1700,POP,20260403,1800,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260403,1800,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260403,1800,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260403,1800,50,59,126
Nanji_Hangang,20260403,1700,SNO,20260403,1800,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260403,1900,17,59,126
Nanji_Hangang,20260403,1700,UUU,20260403,1900,0.3,59,126
Nanji_Hangang,20260403,1700,VVV,20260403,1900,2.1,59,126
Nanji_Hangang,20260403,1700,VEC,20260403,1900,190,59,126
Nanji_Hangang,20260403,1700,WSD,20260403,1900,2.2,59,126
Nanji_Hangang,20260403,1700,SKY,20260403,1900,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260403,1900,0,59,126
Nanji_Hangang,20260403,1700,POP,20260403,1900,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260403,1900,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260403,1900,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260403,1900,50,59,126
Nanji_Hangang,20260403,1700,SNO,20260403,1900,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260403,2000,16,59,126
Nanji_Hangang,20260403,1700,UUU,20260403,2000,0.3,59,126
Nanji_Hangang,20260403,1700,VVV,20260403,2000,2.1,59,126
Nanji_Hangang,20260403,1700,VEC,20260403,2000,190,59,126
Nanji_Hangang,20260403,1700,WSD,20260403,2000,2.2,59,126
Nanji_Hangang,20260403,1700,SKY,20260403,2000,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260403,2000,0,59,126
Nanji_Hangang,20260403,1700,POP,20260403,2000,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260403,2000,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260403,2000,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260403,2000,55,59,126
Nanji_Hangang,20260403,1700,SNO,20260403,2000,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260403,2100,15,59,126
Nanji_Hangang,20260403,1700,UUU,20260403,2100,0.2,59,126
Nanji_Hangang,20260403,1700,VVV,20260403,2100,2.7,59,126
Nanji_Hangang,20260403,1700,VEC,20260403,2100,186,59,126
Nanji_Hangang,20260403,1700,WSD,20260403,2100,2.8,59,126
Nanji_Hangang,20260403,1700,SKY,20260403,2100,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260403,2100,0,59,126
Nanji_Hangang,20260403,1700,POP,20260403,2100,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260403,2100,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260403,2100,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260403,2100,60,59,126
Nanji_Hangang,20260403,1700,SNO,20260403,2100,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260403,2200,15,59,126
Nanji_Hangang,20260403,1700,UUU,20260403,2200,0.4,59,126
Nanji_Hangang,20260403,1700,VVV,20260403,2200,2.9,59,126
Nanji_Hangang,20260403,1700,VEC,20260403,2200,189,59,126
Nanji_Hangang,20260403,1700,WSD,20260403,2200,3,59,126
Nanji_Hangang,20260403,1700,SKY,20260403,2200,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260403,2200,0,59,126
Nanji_Hangang,20260403,1700,POP,20260403,2200,30,59,126
Nanji_Hangang,20260403,1700,WAV,20260403,2200,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260403,2200,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260403,2200,65,59,126
Nanji_Hangang,20260403,1700,SNO,20260403,2200,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260403,2300,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260403,2300,0,59,126
Nanji_Hangang,20260403,1700,VVV,20260403,2300,3.1,59,126
Nanji_Hangang,20260403,1700,VEC,20260403,2300,180,59,126
Nanji_Hangang,20260403,1700,WSD,20260403,2300,3.1,59,126
Nanji_Hangang,20260403,1700,SKY,20260403,2300,3,59,126
Nanji_Hangang,20260403,1700,PTY,20260403,2300,0,59,126
Nanji_Hangang,20260403,1700,POP,20260403,2300,20,59,126
Nanji_Hangang,20260403,1700,WAV,20260403,2300,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260403,2300,강수없음,59,126
Nanji_Hangang,20260403,1700,REH,20260403,2300,70,59,126
Nanji_Hangang,20260403,1700,SNO,20260403,2300,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0000,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0000,-0.7,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0000,3.4,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0000,166,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0000,3.6,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0000,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0000,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0000,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0000,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0000,1mm 미만,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0000,75,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0000,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0100,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0100,-1.8,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0100,2.6,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0100,143,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0100,3.3,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0100,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0100,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0100,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0100,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0100,1mm 미만,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0100,80,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0100,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0200,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0200,-2.1,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0200,1.9,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0200,131,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0200,3,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0200,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0200,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0200,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0200,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0200,1mm 미만,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0200,85,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0200,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0300,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0300,-2.5,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0300,1.2,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0300,116,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0300,2.9,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0300,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0300,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0300,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0300,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0300,1.0mm,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0300,90,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0300,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0400,13,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0400,-2.4,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0400,0.8,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0400,109,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0400,2.7,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0400,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0400,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0400,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0400,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0400,2.0mm,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0400,90,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0400,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0500,13,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0500,-2.2,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0500,0.5,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0500,104,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0500,2.4,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0500,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0500,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0500,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0500,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0500,2.0mm,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0500,90,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0500,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0600,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0600,-2,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0600,0,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0600,90,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0600,2.1,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0600,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0600,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0600,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0600,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0600,2.0mm,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0600,95,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0600,적설없음,59,126
Nanji_Hangang,20260403,1700,TMN,20260404,0600,11.0,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0700,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0700,-1.3,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0700,-0.3,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0700,75,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0700,1.5,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0700,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0700,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0700,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0700,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0700,2.0mm,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0700,95,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0700,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0800,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0800,-0.8,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0800,-0.7,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0800,51,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0800,1.2,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0800,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0800,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0800,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0800,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0800,2.0mm,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0800,95,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0800,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,0900,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,0900,-0.1,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,0900,-1.1,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,0900,14,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,0900,1.2,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,0900,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,0900,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,0900,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,0900,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,0900,2.0mm,59,126
Nanji_Hangang,20260403,1700,REH,20260404,0900,95,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,0900,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,1000,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,1000,0.1,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,1000,-1,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,1000,350,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,1000,1.1,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,1000,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,1000,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,1000,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,1000,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,1000,1mm 미만,59,126
Nanji_Hangang,20260403,1700,REH,20260404,1000,90,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,1000,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,1100,14,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,1100,1,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,1100,-1.1,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,1100,317,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,1100,1.6,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,1100,4,59,126
Nanji_Hangang,20260403,1700,PTY,20260404,1100,1,59,126
Nanji_Hangang,20260403,1700,POP,20260404,1100,60,59,126
Nanji_Hangang,20260403,1700,WAV,20260404,1100,0,59,126
Nanji_Hangang,20260403,1700,PCP,20260404,1100,1mm 미만,59,126
Nanji_Hangang,20260403,1700,REH,20260404,1100,90,59,126
Nanji_Hangang,20260403,1700,SNO,20260404,1100,적설없음,59,126
Nanji_Hangang,20260403,1700,TMP,20260404,1200,15,59,126
Nanji_Hangang,20260403,1700,UUU,20260404,1200,1.6,59,126
Nanji_Hangang,20260403,1700,VVV,20260404,1200,-0.8,59,126
Nanji_Hangang,20260403,1700,VEC,20260404,1200,298,59,126
Nanji_Hangang,20260403,1700,WSD,20260404,1200,1.9,59,126
Nanji_Hangang,20260403,1700,SKY,20260404,1200,4,59,126
