date,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name,is_substitute_holiday,is_holiday_or_weekend,is_long_weekend,daily_parking_count,daily_usage_minutes,avg_stay_minutes
2020-02-11,2020,2,11,Tuesday,False,False,,False,False,False,1035,34133,32.98
2020-02-12,2020,2,12,Wednesday,False,False,,False,False,False,853,33333,39.08
2020-02-13,2020,2,13,Thursday,False,False,,False,False,False,1051,40644,38.67
2020-02-14,2020,2,14,Friday,False,False,,False,False,False,1035,45603,44.06
2020-02-15,2020,2,15,Saturday,True,False,,False,True,False,1226,106975,87.26
2020-02-16,2020,2,16,Sunday,True,False,,False,True,False,848,49177,57.99
2020-02-17,2020,2,17,Monday,False,False,,False,False,False,1003,35353,35.25
2020-02-18,2020,2,18,Tuesday,False,False,,False,False,False,1042,44524,42.73
2020-02-19,2020,2,19,Wednesday,False,False,,False,False,False,965,35293,36.57
2020-02-20,2020,2,20,Thursday,False,False,,False,False,False,1035,38952,37.63
2020-02-21,2020,2,21,Friday,False,False,,False,False,False,883,41850,47.4
2020-02-22,2020,2,22,Saturday,True,False,,False,True,False,712,29149,40.94
2020-02-24,2020,2,24,Monday,False,False,,False,False,False,58,7257,125.12
2020-02-27,2020,2,27,Thursday,False,False,,False,False,False,1304,57335,43.97
2020-02-28,2020,2,28,Friday,False,False,,False,False,False,818,48060,58.75
2020-02-29,2020,2,29,Saturday,True,False,,False,True,False,2199,160693,73.08
2020-03-01,2020,3,1,Sunday,True,False,,False,True,False,1459,83700,57.37
2020-03-02,2020,3,2,Monday,False,False,,False,False,False,969,52967,54.66
2020-03-03,2020,3,3,Tuesday,False,False,,False,False,False,940,57510,61.18
2020-03-04,2020,3,4,Wednesday,False,False,,False,False,False,906,48063,53.05
2020-03-05,2020,3,5,Thursday,False,False,,False,False,False,910,49138,54.0
2020-03-06,2020,3,6,Friday,False,False,,False,False,False,1070,57588,53.82
2020-03-07,2020,3,7,Saturday,True,False,,False,True,False,1890,136513,72.23
2020-03-08,2020,3,8,Sunday,True,False,,False,True,False,3330,265134,79.62
2020-03-09,2020,3,9,Monday,False,False,,False,False,False,1255,85905,68.45
2020-03-10,2020,3,10,Tuesday,False,False,,False,False,False,936,45482,48.59
2020-03-11,2020,3,11,Wednesday,False,False,,False,False,False,1412,86331,61.14
2020-03-12,2020,3,12,Thursday,False,False,,False,False,False,1330,81312,61.14
2020-03-13,2020,3,13,Friday,False,False,,False,False,False,1318,74132,56.25
2020-03-14,2020,3,14,Saturday,True,False,,False,True,False,2322,154409,66.5
2020-03-15,2020,3,15,Sunday,True,False,,False,True,False,2484,121231,48.8
2020-03-16,2020,3,16,Monday,False,False,,False,False,False,1297,68698,52.97
2020-03-17,2020,3,17,Tuesday,False,False,,False,False,False,1318,61714,46.82
2020-03-18,2020,3,18,Wednesday,False,False,,False,False,False,1746,110839,63.48
2020-03-19,2020,3,19,Thursday,False,False,,False,False,False,921,57756,62.71
2020-03-20,2020,3,20,Friday,False,False,,False,False,False,1799,107954,60.01
2020-03-21,2020,3,21,Saturday,True,False,,False,True,False,3724,413623,111.07
2020-03-22,2020,3,22,Sunday,True,False,,False,True,False,4652,418676,90.0
2020-03-23,2020,3,23,Monday,False,False,,False,False,False,1764,114766,65.06
2020-03-24,2020,3,24,Tuesday,False,False,,False,False,False,1819,124456,68.42
2020-03-25,2020,3,25,Wednesday,False,False,,False,False,False,1945,136689,70.28
2020-03-26,2020,3,26,Thursday,False,False,,False,False,False,1354,92015,67.96
2020-03-27,2020,3,27,Friday,False,False,,False,False,False,1959,142019,72.5
2020-03-28,2020,3,28,Saturday,True,False,,False,True,False,3624,387281,106.87
2020-03-29,2020,3,29,Sunday,True,False,,False,True,False,4383,409625,93.46
2020-03-30,2020,3,30,Monday,False,False,,False,False,False,1859,133282,71.7
2020-03-31,2020,3,31,Tuesday,False,False,,False,False,False,1867,167422,89.67
2020-04-01,2020,4,1,Wednesday,False,False,,False,False,False,1824,169851,93.12
2020-04-02,2020,4,2,Thursday,False,False,,False,False,False,1717,126715,73.8
2020-04-03,2020,4,3,Friday,False,False,,False,False,False,1783,133311,74.77
2020-04-04,2020,4,4,Saturday,True,False,,False,True,False,2384,173579,72.81
2020-04-05,2020,4,5,Sunday,True,False,,False,True,False,2621,234470,89.46
2020-04-06,2020,4,6,Monday,False,False,,False,False,False,1513,114151,75.45
2020-04-07,2020,4,7,Tuesday,False,False,,False,False,False,1373,111204,80.99
2020-04-08,2020,4,8,Wednesday,False,False,,False,False,False,1525,92507,60.66
2020-04-09,2020,4,9,Thursday,False,False,,False,False,False,1438,100553,69.93
2020-04-10,2020,4,10,Friday,False,False,,False,False,False,1661,152112,91.58
2020-04-11,2020,4,11,Saturday,True,False,,False,True,False,2887,266805,92.42
2020-04-12,2020,4,12,Sunday,True,False,,False,True,False,2566,214360,83.54
2020-04-13,2020,4,13,Monday,False,False,,False,False,False,1611,118178,73.36
2020-04-14,2020,4,14,Tuesday,False,False,,False,False,False,1702,134551,79.05
2020-04-15,2020,4,15,Wednesday,False,False,,False,False,False,3040,309910,101.94
2020-04-16,2020,4,16,Thursday,False,False,,False,False,False,1673,115407,68.98
2020-04-17,2020,4,17,Friday,False,False,,False,False,False,1179,72080,61.14
2020-04-18,2020,4,18,Saturday,True,False,,False,True,False,4005,404450,100.99
2020-04-19,2020,4,19,Sunday,True,False,,False,True,False,1773,164794,92.95
2020-04-20,2020,4,20,Monday,False,False,,False,False,False,1204,75641,62.82
2020-04-21,2020,4,21,Tuesday,False,False,,False,False,False,1205,58069,48.19
2020-04-22,2020,4,22,Wednesday,False,False,,False,False,False,1075,26672,24.81
2020-04-23,2020,4,23,Thursday,False,False,,False,False,False,1260,29784,23.64
2020-04-24,2020,4,24,Friday,False,False,,False,False,False,1532,46950,30.65
2020-04-25,2020,4,25,Saturday,True,False,,False,True,False,2945,224295,76.16
2020-04-26,2020,4,26,Sunday,True,False,,False,True,False,3961,300746,75.93
2020-04-27,2020,4,27,Monday,False,False,,False,False,False,1718,61066,35.54
2020-04-28,2020,4,28,Tuesday,False,False,,False,False,False,1785,58487,32.77
2020-04-29,2020,4,29,Wednesday,False,False,,False,False,False,2397,93725,39.1
2020-04-30,2020,4,30,Thursday,False,False,,False,False,False,4701,524282,111.53
2020-05-01,2020,5,1,Friday,False,False,,False,False,False,3828,384147,100.35
2020-05-02,2020,5,2,Saturday,True,False,,False,True,False,3966,487898,123.02
2020-05-03,2020,5,3,Sunday,True,False,,False,True,False,4200,409760,97.56
2020-05-04,2020,5,4,Monday,False,False,,False,False,False,2981,244288,81.95
2020-05-05,2020,5,5,Tuesday,False,False,,False,False,False,4630,530575,114.6
2020-05-06,2020,5,6,Wednesday,False,False,,False,False,False,2006,67524,33.66
2020-05-07,2020,5,7,Thursday,False,False,,False,False,False,1869,69786,37.34
2020-05-08,2020,5,8,Friday,False,False,,False,False,False,1952,69572,35.64
2020-05-09,2020,5,9,Saturday,True,False,,False,True,False,1801,142092,78.9
2020-05-10,2020,5,10,Sunday,True,False,,False,True,False,2797,178706,63.89
2020-05-11,2020,5,11,Monday,False,False,,False,False,False,1549,61880,39.95
2020-05-12,2020,5,12,Tuesday,False,False,,False,False,False,1508,42724,28.33
2020-05-13,2020,5,13,Wednesday,False,False,,False,False,False,2028,87036,42.92
2020-05-14,2020,5,14,Thursday,False,False,,False,False,False,1977,59621,30.16
2020-05-15,2020,5,15,Friday,False,False,,False,False,False,1453,28795,19.82
2020-05-16,2020,5,16,Saturday,True,False,,False,True,False,3077,153037,49.74
2020-05-17,2020,5,17,Sunday,True,False,,False,True,False,3901,284846,73.02
2020-05-18,2020,5,18,Monday,False,False,,False,False,False,1237,20146,16.29
2020-05-19,2020,5,19,Tuesday,False,False,,False,False,False,1473,21736,14.76
2020-05-20,2020,5,20,Wednesday,False,False,,False,False,False,1856,90160,48.58
2020-05-21,2020,5,21,Thursday,False,False,,False,False,False,1888,103560,54.85
2020-05-22,2020,5,22,Friday,False,False,,False,False,False,2104,126640,60.19
2020-05-23,2020,5,23,Saturday,True,False,,False,True,False,4887,531316,108.72
2020-05-24,2020,5,24,Sunday,True,False,,False,True,False,3141,296693,94.46
2020-05-25,2020,5,25,Monday,False,False,,False,False,False,1751,115672,66.06
2020-05-26,2020,5,26,Tuesday,False,False,,False,False,False,1493,86309,57.81
2020-05-27,2020,5,27,Wednesday,False,False,,False,False,False,2155,163664,75.95
2020-05-28,2020,5,28,Thursday,False,False,,False,False,False,1998,115587,57.85
2020-05-29,2020,5,29,Friday,False,False,,False,False,False,2802,163921,58.5
2020-05-30,2020,5,30,Saturday,True,False,,False,True,False,3776,340654,90.22
2020-05-31,2020,5,31,Sunday,True,False,,False,True,False,2927,285202,97.44
2020-06-01,2020,6,1,Monday,False,False,,False,False,False,1528,84228,55.12
2020-06-02,2020,6,2,Tuesday,False,False,,False,False,False,1261,81150,64.35
2020-06-03,2020,6,3,Wednesday,False,False,,False,False,False,1610,115847,71.95
2020-06-04,2020,6,4,Thursday,False,False,,False,False,False,1787,122683,68.65
2020-06-05,2020,6,5,Friday,False,False,,False,False,False,2501,160325,64.1
2020-06-06,2020,6,6,Saturday,True,False,,False,True,False,5040,471313,93.51
2020-06-07,2020,6,7,Sunday,True,False,,False,True,False,4042,461206,114.1
2020-06-08,2020,6,8,Monday,False,False,,False,False,False,1847,106117,57.45
2020-06-09,2020,6,9,Tuesday,False,False,,False,False,False,1713,96503,56.34
2020-06-10,2020,6,10,Wednesday,False,False,,False,False,False,6629,87948,13.27
2020-06-11,2020,6,11,Thursday,False,False,,False,False,False,1871,92833,49.62
2020-06-12,2020,6,12,Friday,False,False,,False,False,False,2554,145207,56.85
2020-06-13,2020,6,13,Saturday,True,False,,False,True,False,3945,243334,61.68
2020-06-14,2020,6,14,Sunday,True,False,,False,True,False,3765,433356,115.1
2020-06-15,2020,6,15,Monday,False,False,,False,False,False,1944,111285,57.25
2020-06-16,2020,6,16,Tuesday,False,False,,False,False,False,1762,104933,59.55
2020-06-17,2020,6,17,Wednesday,False,False,,False,False,False,2167,114761,52.96
2020-06-18,2020,6,18,Thursday,False,False,,False,False,False,2923,110353,37.75
2020-06-19,2020,6,19,Friday,False,False,,False,False,False,2683,180084,67.12
2020-06-20,2020,6,20,Saturday,True,False,,False,True,False,4056,346481,85.42
2020-06-21,2020,6,21,Sunday,True,False,,False,True,False,3834,387339,101.03
2020-06-22,2020,6,22,Monday,False,False,,False,False,False,1746,86538,49.56
2020-06-23,2020,6,23,Tuesday,False,False,,False,False,False,1819,90667,49.84
2020-06-24,2020,6,24,Wednesday,False,False,,False,False,False,950,60334,63.51
2020-06-25,2020,6,25,Thursday,False,False,,False,False,False,973,38988,40.07
2020-06-26,2020,6,26,Friday,False,False,,False,False,False,2116,131738,62.26
2020-06-27,2020,6,27,Saturday,True,False,,False,True,False,4075,326328,80.08
2020-06-28,2020,6,28,Sunday,True,False,,False,True,False,3479,372913,107.19
2020-06-29,2020,6,29,Monday,False,False,,False,False,False,1087,54584,50.22
