date,year,month,day,day_of_week,is_weekend,is_holiday,holiday_name,is_substitute_holiday,is_holiday_or_weekend,is_long_weekend,daily_parking_count,daily_usage_minutes,avg_stay_minutes,lag_1d_parking,lag_7d_parking,rolling_mean_3d_parking,rolling_mean_7d_parking
2020-02-11,2020,2,11,Tuesday,False,False,,False,False,False,1035,34133,32.98,,,,
2020-02-12,2020,2,12,Wednesday,False,False,,False,False,False,853,33333,39.08,1035,,,
2020-02-13,2020,2,13,Thursday,False,False,,False,False,False,1051,40644,38.67,853,,979.67,
2020-02-14,2020,2,14,Friday,False,False,,False,False,False,1035,45603,44.06,1051,,979.67,
2020-02-15,2020,2,15,Saturday,True,False,,False,True,False,1226,106975,87.26,1035,,1104.0,
2020-02-16,2020,2,16,Sunday,True,False,,False,True,False,848,49177,57.99,1226,,1036.33,
2020-02-17,2020,2,17,Monday,False,False,,False,False,False,1003,35353,35.25,848,,1025.67,1007.29
2020-02-18,2020,2,18,Tuesday,False,False,,False,False,False,1042,44524,42.73,1003,1035,964.33,1008.29
2020-02-19,2020,2,19,Wednesday,False,False,,False,False,False,965,35293,36.57,1042,853,1003.33,1024.29
2020-02-20,2020,2,20,Thursday,False,False,,False,False,False,1035,38952,37.63,965,1051,1014.0,1022.0
2020-02-21,2020,2,21,Friday,False,False,,False,False,False,883,41850,47.4,1035,1035,961.0,1000.29
2020-02-22,2020,2,22,Saturday,True,False,,False,True,False,712,29149,40.94,883,1226,876.67,926.86
2020-02-24,2020,2,24,Monday,False,False,,False,False,False,58,7257,125.12,712,848,551.0,814.0
2020-02-27,2020,2,27,Thursday,False,False,,False,False,False,1304,57335,43.97,58,1003,691.33,857.0
2020-02-28,2020,2,28,Friday,False,False,,False,False,False,818,48060,58.75,1304,1042,726.67,825.0
2020-02-29,2020,2,29,Saturday,True,False,,False,True,False,2199,160693,73.08,818,965,1440.33,1001.29
2020-03-01,2020,3,1,Sunday,True,False,,False,True,False,1459,83700,57.37,2199,1035,1492.0,1061.86
2020-03-02,2020,3,2,Monday,False,False,,False,False,False,969,52967,54.66,1459,883,1542.33,1074.14
2020-03-03,2020,3,3,Tuesday,False,False,,False,False,False,940,57510,61.18,969,712,1122.67,1106.71
2020-03-04,2020,3,4,Wednesday,False,False,,False,False,False,906,48063,53.05,940,58,938.33,1227.86
2020-03-05,2020,3,5,Thursday,False,False,,False,False,False,910,49138,54.0,906,1304,918.67,1171.57
2020-03-06,2020,3,6,Friday,False,False,,False,False,False,1070,57588,53.82,910,818,962.0,1207.57
2020-03-07,2020,3,7,Saturday,True,False,,False,True,False,1890,136513,72.23,1070,2199,1290.0,1163.43
2020-03-08,2020,3,8,Sunday,True,False,,False,True,False,3330,265134,79.62,1890,1459,2096.67,1430.71
2020-03-09,2020,3,9,Monday,False,False,,False,False,False,1255,85905,68.45,3330,969,2158.33,1471.57
2020-03-10,2020,3,10,Tuesday,False,False,,False,False,False,936,45482,48.59,1255,940,1840.33,1471.0
2020-03-11,2020,3,11,Wednesday,False,False,,False,False,False,1412,86331,61.14,936,906,1201.0,1543.29
2020-03-12,2020,3,12,Thursday,False,False,,False,False,False,1330,81312,61.14,1412,910,1226.0,1603.29
2020-03-13,2020,3,13,Friday,False,False,,False,False,False,1318,74132,56.25,1330,1070,1353.33,1638.71
2020-03-14,2020,3,14,Saturday,True,False,,False,True,False,2322,154409,66.5,1318,1890,1656.67,1700.43
2020-03-15,2020,3,15,Sunday,True,False,,False,True,False,2484,121231,48.8,2322,3330,2041.33,1579.57
